giwin,lose,probability
Cleveland Cavaliers,New York Knicks,0.62152987322317832
Golden State Warriors,San Antonio Spurs,0.53143244041057647
Portland Trail Blazers,Utah Jazz,0.59209069018576965
Boston Celtics,Brooklyn Nets,0.50170624434385425
Indiana Pacers,Dallas Mavericks,0.51197978162625601
Los Angeles Lakers,Houston Rockets,0.50254097556155686
Memphis Grizzlies,Minnesota Timberwolves,0.53481331042940305
Charlotte Hornets,Milwaukee Bucks,0.5650920276856094
Denver Nuggets,New Orleans Pelicans,0.52823701556115066
Orlando Magic,Miami Heat,0.52475467441509527
Philadelphia 76ers,Oklahoma City Thunder,0.5332028321774307
Phoenix Suns,Sacramento Kings,0.51436489253779416
Toronto Raptors,Detroit Pistons,0.52311232592473
Atlanta Hawks,Washington Wizards,0.55610105752424122
Boston Celtics,Chicago Bulls,0.5667163097077732
Portland Trail Blazers,Los Angeles Clippers,0.55613082743559916
San Antonio Spurs,Sacramento Kings,0.56343193435950911
Indiana Pacers,Brooklyn Nets,0.57337409864637467
Dallas Mavericks,Houston Rockets,0.54903452003458764
Detroit Pistons,Orlando Magic,0.5146570210379513
Charlotte Hornets,Miami Heat,0.52559580174648524
Golden State Warriors,New Orleans Pelicans,0.57843494526759187
Phoenix Suns,Oklahoma City Thunder,0.53493347793747059
Toronto Raptors,Cleveland Cavaliers,0.58143544655942569
Utah Jazz,Los Angeles Lakers,0.57562403819984553
Indiana Pacers,Chicago Bulls,0.53893871055642706
Charlotte Hornets,Boston Celtics,0.5598706648889421
Cleveland Cavaliers,Orlando Magic,0.62092037253713972
Denver Nuggets,Portland Trail Blazers,0.65140501275503215
Brooklyn Nets,Milwaukee Bucks,0.53540568173140446
Memphis Grizzlies,New York Knicks,0.53470870597445952
Atlanta Hawks,Philadelphia 76ers,0.51699268551149324
Minnesota Timberwolves,Sacramento Kings,0.50954809686233316
New Orleans Pelicans,San Antonio Spurs,0.54409824054805278
Detroit Pistons,Milwaukee Bucks,0.54179752795845793
Houston Rockets,Dallas Mavericks,0.55465191683227122
Los Angeles Clippers,Utah Jazz,0.56305097855082831
Washington Wizards,Memphis Grizzlies,0.51256116403558249
San Antonio Spurs,Miami Heat,0.50421678487046517
Oklahoma City Thunder,Los Angeles Lakers,0.50484957405994146
Golden State Warriors,Phoenix Suns,0.56116007185460803
Atlanta Hawks,Sacramento Kings,0.55496247755555062
Chicago Bulls,Brooklyn Nets,0.55517382082959799
Los Angeles Clippers,Phoenix Suns,0.5449669485241897
Toronto Raptors,Denver Nuggets,0.52849913459920861
Cleveland Cavaliers,Houston Rockets,0.6062095806456278
Detroit Pistons,New York Knicks,0.51530400574632607
Indiana Pacers,Los Angeles Lakers,0.54963746894599186
Miami Heat,Sacramento Kings,0.5014230734520807
Memphis Grizzlies,Minnesota Timberwolves,0.53436357036865523
New Orleans Pelicans,Milwaukee Bucks,0.52059000738572758
Philadelphia 76ers,Orlando Magic,0.51836662953362533
Portland Trail Blazers,Golden State Warriors,0.50985753734714878
Utah Jazz,San Antonio Spurs,0.51972657858755189
Atlanta Hawks,Los Angeles Lakers,0.58339769052998613
Boston Celtics,Chicago Bulls,0.51896816154139491
Detroit Pistons,Brooklyn Nets,0.60448278670983124
Charlotte Hornets,Philadelphia 76ers,0.54028754767998788
Los Angeles Clippers,Oklahoma City Thunder,0.56702016888712525
New Orleans Pelicans,Memphis Grizzlies,0.53069604618109367
Houston Rockets,New York Knicks,0.54479023374736224
Phoenix Suns,Portland Trail Blazers,0.66162581210258997
Utah Jazz,Dallas Mavericks,0.53831405302498281
Washington Wizards,Toronto Raptors,0.53286288777540558
Cleveland Cavaliers,Boston Celtics,0.59903974181072361
Golden State Warriors,Oklahoma City Thunder,0.54845706556812523
Indiana Pacers,Milwaukee Bucks,0.53663654231376223
Denver Nuggets,Minnesota Timberwolves,0.55051318338967647
Sacramento Kings,Orlando Magic,0.52314138798278864
Charlotte Hornets,Brooklyn Nets,0.60124989404734364
New York Knicks,Chicago Bulls,0.54336203500716884
Dallas Mavericks,Portland Trail Blazers,0.70794352882839751
Golden State Warriors,Los Angeles Lakers,0.55418850150440069
Los Angeles Clippers,Memphis Grizzlies,0.54293769454608243
Phoenix Suns,New Orleans Pelicans,0.51408897963668521
Toronto Raptors,Miami Heat,0.60010795440829179
Utah Jazz,San Antonio Spurs,0.54147448351606053
Atlanta Hawks,Washington Wizards,0.51935297173548145
Atlanta Hawks,Houston Rockets,0.53622832500578388
Denver Nuggets,Detroit Pistons,0.50697299752041192
Indiana Pacers,Chicago Bulls,0.54093911550630513
Sacramento Kings,Milwaukee Bucks,0.53834681344770652
Oklahoma City Thunder,Minnesota Timberwolves,0.52441784575676953
Washington Wizards,Orlando Magic,0.52199093625521942
Philadelphia 76ers,Cleveland Cavaliers,0.55020759534630936
